River;Drainage basin[A];Province and location;Source location;Tributary of (river);Dam in river;Mouth / junction at location (town);Mouth / junction coordinates;Towns nearer
River;;;(town / mountains);;;;;
Amanzimtoti River, (Manzimtoti River) (Toti River);U7;KwaZulu-Natal,Amanzimtoti;northwest of Adams Mission;;;Amanzimtoti, Indian Ocean;30°3?S30°52?E;
Apies River;A2;Gauteng, Tshwane,Pretoria;South of Pretoria;Tshwane River, thenPienaars River andLimpopo River;Bon Accord Dam;Makapanstad;25°14?24?S28°08?36?E;
As River (or Axel River);C8;Free State;Southeast of Bethlehem;Liebenbergsvlei River, then Wilge River;Sol Plaatjie Dam;;28°13?27?S28°21?58?E;
Assegaai River;W5;Mpumalanga;North of Wakkerstroom;Mkondo River;Heyshope Dam;Swaziland border;27°04?46?S31°02?19?E;
Bamboesspruit (or Bamboes Spruit);C2;North West;South of Ottosdal;Vaal River;Bloemhof Dam;;27°40?15?S25°37?40?E;
Baviaanskloof River;L8;Western and Eastern Cape;North of Plettenberg Bay;Kouga River;;;33°39?53?S24°23?37?E;
Bell River;D1;Eastern Cape;Near Naudé's Neck;Kraai River, thenOrange River;;Near Moshesh's Ford;30°51?08?S27°46?43?E;
Berg River (or Great Berg River);G1;Western Cape;Franschhoek Drakenstein;;Berg River Dam;Velddrif north of Vredenburg, Atlantic Ocean;32°46?13.00?S18°8?39.66?E;
Berg River;D3;Free State;22 km Southwest of Jagersfontein;Orange River;Vanderkloof Dam;Vanderkloof Dam;29°59?43?S24°46?48?E;
Bhira River;R 5;Eastern Cape;North of Eleqolweni;;;between Port Alfred and East London, near Begha, Indian Ocean;33°23?00?S27°19?33?E;
Bivane River;W5;KwaZulu-Natal;;Pongola River;Bivane Dam;;;
Black Kei River;;Eastern Cape;Southwest of Queenstown;Great Kei River;;;;
Blesbokspruit (or Blesbok Spruit);C2;Gauteng;North of Daveyton;Vaal River;;;;
Blood River (or Ncome River);V3;KwaZulu-Natal;Knight's Pass, Utrecht;Buffalo River;;;;
Bloukrans River;V1;KwaZulu-Natal;North of Giant's Castle in theDrakensberg foothills;Tugela River;none;near Tugela Estates, Weenenarea;28°45?30?S30°08?55?E;
Bloukrans River;K;Western and Eastern Cape border;Near Peak Formosa;n.a.;;Near Bloukrans Bridge;33°58?44?S23°38?49?E;
Bloukrans River;;Eastern Cape;Near Grahamstown;Kowie River;none;Near Langholm, Grahamstown;33°24?38?S26°39?05?E;
Blyde River (or Motlatse River);B6;Mpumalanga;West of Sabie;Olifants River;Blyderivierpoort Dam;Lissataba game farm, Mica area;24°15?13?S30°49?50?E;
Boesmans River;;Western Cape;Northeast of Pearly Beach;Uilkraal River;;Uilkraalsmond (south of Gans Bay), Atlantic Ocean;34°36?21?S19°24?32?E;
Boesmans River;;Eastern Cape;North of Kirkwood (Eastern Cape);;;Kenton on Sea, Indian Ocean;33°41?32?S26°39?50?E;
Boesmanspruit (or Boesman Spruit);;Mpumalanga;South of Secunda;Waterval River then into the Vaal River;;;;
Bonte River;;Western Cape;;;Alphen Dam;;;
Bot River;G;Western Cape;South of Teewaterskloof Dam;;Fortuin Reservoir;Fischerhaven, Atlantic Ocean;34°22?05?S19°05?53?E;
Braamfontein Spruit (or Braamfonteinspruit);;Gauteng;Greymont Roodepoort;Jukskei River;Emmarentia Dam;;;
Brak River;A7;Limpopo;;Sand River (Polokwane);Magkabeng Plateau;;22°36?15?S29°44?0?E;
Breede River (or Breë River);H;Western Cape,Overberg;near Ceres the Koekedou River andDwars River become the Bree River;;;West of Mossel Bay, Indian Ocean;34°24?15?S20°51?06?E;
Bronkhorst Spruit(or Bronkhorstspruit);B2;Gauteng;;Wilge River;Bronkhorstspruit Dam;;;
Buffeljags River;;Western Cape;joining of the Tredou River andGrootvadersbos River;Breede River;Buffeljags Dam;;;
Buffalo River (Eastern Cape);R 2;Eastern Cape;Northwest of King William's Town;;Laing Dam, Bridle Drift Dam;East London harbour;33°01?45?S27°54?57?E;
Buffalo River (KwaZulu-Natal);V3;KwaZulu-Natal;northeast of Volksrust;Tugela River;;;;
Buffels River;F3;Northern Cape;;;;;29.67642°S 17.051811°E;
Buffels River;J1;Western Cape;The Komsberg River and the Venters River, join together to become theBuffels River;;Floriskraal Dam;at Buffelspoort, the Klein-Swartberg River joins the Buffels River to become the Groot River;33.467929°S 20.983973°E;
Bushman River;V;KwaZulu-Natal;at Giant's Castle;Tugela River;Wagendrift Dam;;;
Caledon River;D2;Free State borderLesotho and South Africa;southwest of Witsieshoek;Orange River;Knellpoort Dam,Welbedacht Dam;Bethulie;30°31?0?S26°5?46?E;
Chalumna River (or Tyolomnqa River);R 4;Eastern Cape;;;;;;
